Var0,Var1,Var2,Var3,Var4
1.91791,2.978,3.10409,0.783834,2.21617
1.91791,2.978,3.10409,0.783834,2.21617
1.91791,2.978,3.10409,0.783834,2.21617
1.91791,2.978,3.10409,0.783834,2.21617
