stream,next_stream,drainage_area_km2,length_km,area_sqkm,centroid_lon,centroid_lat,hu,i2,i3,sw,ss,n,slope,res_ss,res_gw,melt,t_thres
420551146,420550724,0.7070000000000001,0.419,0.118,-74.72286458,40.34177083333334,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550922,420550724,90.177,0.234,0.092,-74.72589286,40.34130952380953,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550519,420550101,0.177,0.535,0.177,-74.71621914,40.342669753086426,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550724,420550099,90.911,0.117,0.027,-74.725,40.34374999999999,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549911,420550099,0.079,0.304,0.079,-74.72631944,40.34652777777777,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550099,420550100,91.10199999999998,0.35,0.112,-74.72272059,40.34492647058825,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549719,420550101,0.269,0.633,0.269,-74.71446138,40.345518292682925,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550101,420549718,0.486,0.234,0.04,-74.71888889,40.34638888888888,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549141,420548714,0.236,0.696,0.236,-74.71138889,40.34807870370369,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550100,420549718,91.45099999999996,0.117,0.073,-74.72049242,40.34518939393939,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548923,420550100,0.276,0.679,0.276,-74.72628968,40.34950396825398,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549718,420549341,91.98999999999997,0.21,0.053,-74.72010417,40.3478125,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548924,420549341,0.112,0.142,0.112,-74.72316176,40.35075980392158,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549341,420548487,92.17499999999995,0.21,0.073,-74.71844697,40.34935606060607,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548715,420548066,0.158,0.397,0.158,-74.70774306,40.35027777777777,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548486,420548487,0.099,0.188,0.099,-74.72163889,40.35258333333333,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548487,420548064,92.35999999999996,0.326,0.086,-74.71842949,40.35189102564104,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548714,420548066,95.40399999999995,0.117,0.033,-74.71541667,40.35458333333339,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548065,420548714,95.13499999999996,0.538,0.164,-74.71411667,40.353116666666665,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548488,420547873,0.223,0.35,0.223,-74.70416667,40.351323529411765,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548066,420547871,95.65399999999995,0.234,0.092,-74.71065476,40.3535119,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550103,420550923,111.19099999999996,0.395,0.105,-74.68984375,40.34520833333333,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550318,420549914,0.099,0.188,0.099,-74.68252778,40.344472222222215,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420550102,420549720,0.23,0.375,0.23,-74.6999881,40.345559523809534,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549915,420549914,0.112,0.446,0.112,-74.68090686,40.34605392156862,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549913,420550103,0.6709999999999999,0.188,0.04,-74.69111111,40.34708333333333,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549914,420549721,0.343,0.375,0.132,-74.68533333,40.34537499999998,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549721,420550103,110.41499999999996,0.234,0.079,-74.68805556,40.34715277777778,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549345,420549142,0.289,0.77,0.289,-74.67914773,40.347765151515134,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549720,420549913,0.5389999999999999,0.425,0.125,-74.69467105,40.34708333333333,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549342,420549720,0.184,0.446,0.184,-74.69985119,40.34857142857144,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549343,420549913,0.092,0.304,0.092,-74.69369048,40.34928571428572,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548927,420549721,109.99299999999997,0.443,0.145,-74.68700758,40.34988636363635,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549143,420549142,0.086,0.329,0.086,-74.67785256,40.34939102564101,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548926,420548927,0.125,0.188,0.125,-74.69155702,40.35054824561403,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549344,420548267,0.02,0.117,0.02,-74.68458333,40.34958333333332,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548928,420548068,0.079,0.326,0.079,-74.67694444,40.35062500000001,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547875,420548267,8.706999999999999,0.329,0.138,-74.68462302,40.3530754,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549142,420547875,0.382,0.117,0.007,-74.68208333,40.35125,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548716,420548927,109.72299999999996,0.093,0.014,-74.68875,40.352500000000006,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548267,420548716,8.812999999999999,0.35,0.086,-74.68682692,40.35317307692308,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548925,420547441,0.046,0.117,0.046,-74.69672619,40.35113095238096,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548489,420547875,8.187,0.117,0.014,-74.6825,40.35249999999998,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420546628,420548716,100.89599999999996,0.696,0.249,-74.69008772,40.35594298245614,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548268,420548489,8.14,0.188,0.046,-74.68041667,40.35327381,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548266,420547441,99.37199999999996,0.188,0.033,-74.69825,40.35308333333332,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548069,420548068,0.6759999999999999,0.188,0.059,-74.67662037,40.35449074074075,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548067,420548489,0.033,0.093,0.033,-74.68275,40.35458333333333,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547873,420548266,99.30599999999995,0.492,0.21,-74.70046875,40.35317708333334,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548068,420548268,0.834,0.35,0.079,-74.67840278,40.35347222222222,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547441,420547034,99.71299999999997,0.722,0.295,-74.69497222,40.35504629629628,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547874,420548266,0.033,0.093,0.033,-74.69791667,40.35541666666667,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547442,420548268,7.260000000000001,0.395,0.171,-74.68189103,40.3561859,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549139,420548922,0.171,0.446,0.171,-74.73657051,40.34948717948716,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549340,420549136,0.118,0.234,0.118,-74.75087963,40.349259259259256,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548922,420549138,0.8939999999999999,0.117,0.033,-74.74058333,40.35091666666666,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549136,420549137,8.036999999999999,0.117,0.014,-74.74916667,40.35041666666666,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548265,420549137,0.145,0.397,0.145,-74.74371212,40.35246212121212,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420549140,420548712,0.092,0.234,0.092,-74.73255952,40.34982142857143,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548485,420549136,7.904999999999999,0.278,0.066,-74.74833333,40.35241666666666,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548063,420548922,0.69,0.513,0.164,-74.73868333,40.35334999999998,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548713,420548712,0.112,0.213,0.112,-74.73213235,40.35198529411765,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548712,420548063,0.244,0.234,0.04,-74.73555556,40.35236111111112,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547870,420548485,6.677,0.326,0.066,-74.7495,40.355583333333335,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547029,420548485,1.162,1.028,0.505,-74.74318723,40.35707251082251,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547030,420548063,0.282,0.443,0.282,-74.73458333,40.35615310077519,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547648,420547031,1.079,0.093,0.02,-74.72708333,40.35680555555555,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420545989,420547870,0.289,0.744,0.289,-74.74676136,40.36034090909091,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420546625,420547648,0.204,0.421,0.204,-74.73090054,40.35866935,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
