stream,lat_index,lon_index
420542342,9,9
420540921,10,10
420541324,10,10
420541532,9,8
420540078,10,9
420541323,10,8
420540509,10,9
420540919,10,8
420541726,10,11
420544961,8,11
420542545,9,11
420542130,9,7
420541322,10,6
420541114,10,7
420541531,10,7
420540918,10,7
420539884,10,7
420540077,10,6
420538810,11,7
420539883,11,7
420539252,11,6
420538809,11,7
420539024,11,6
420538808,11,6
420538384,11,6
420537774,11,7
420537159,12,6
420537158,12,6
420537373,12,7
420534928,12,8
420536363,12,7
420536553,12,7
420535137,13,6
420534720,13,6
420534927,13,6
420535534,13,7
420535138,13,7
420533895,13,7
420534113,13,7
420534520,13,7
420533705,13,8
420542131,10,7
420542935,9,7
420542936,9,8
420540508,10,8
420543347,8,7
420543556,9,7
420543971,8,7
420543972,8,7
420540507,10,6
420542542,9,6
420541321,10,6
420543344,9,5
420541927,9,5
420543147,9,5
420543148,9,5
420543345,9,6
420542934,9,6
420543346,9,6
420542129,9,5
420542543,9,6
420541925,10,4
420541928,10,6
420541926,10,4
420541530,10,4
420541320,10,4
420540506,10,5
420540715,10,6
420539880,10,5
420540076,10,5
420539881,11,5
420536148,12,3
420536765,12,4
420536149,12,3
420534719,13,4
420535930,13,3
420535531,13,3
420534926,13,3
420537156,12,3
420537157,12,4
420537773,11,3
420538573,11,3
420539247,11,2
420539248,11,3
420539442,11,4
420539664,11,3
420540281,10,2
420540282,10,3
420540505,10,3
420540713,10,3
420540714,10,3
420541319,10,2
420542127,9,3
420542128,9,3
420542541,9,2
420542931,9,2
420542932,9,3
420540717,10,11
420540716,10,11
420540079,10,11
420539886,10,11
420538578,11,11
420538811,11,11
420538160,11,11
420537982,12,11
420538387,11,11
420536556,12,11
420537375,12,11
420537777,12,12
420536151,12,12
420540510,10,9
420539444,11,8
420540920,10,9
420540286,10,10
420540285,10,7
420539445,11,9
420539665,11,10
420539025,11,8
420539885,11,10
420538575,11,9
420538385,11,8
420539446,11,10
420538576,11,10
420539253,11,10
420539026,11,10
420538577,11,10
420536966,12,10
420537775,12,9
420538386,11,9
420537374,12,8
420536767,12,9
420537776,12,9
420536554,12,9
420535734,12,10
420537160,12,8
420536365,12,9
420536364,12,8
420536555,12,10
420535733,13,8
420535932,12,9
420534929,13,9
420535139,13,9
420534930,13,10
420540284,10,6
420540283,10,4
420539882,11,6
420539249,11,4
420539251,11,6
420539443,11,4
420539250,11,4
420538574,11,5
420537980,11,4
420538159,11,5
420537981,12,5
420537559,12,5
420537372,12,5
420537371,12,4
420537558,12,4
420536362,12,5
420536965,12,4
420536551,12,5
420535341,12,5
420536964,12,4
420536766,12,4
420535340,13,5
420536550,12,4
420536549,12,4
420535533,12,6
420535532,13,4
420536552,12,6
420535931,13,6
420536150,12,6
420535732,13,6
420537162,12,12
420536967,12,12
420536367,12,11
420537161,12,12
420536768,12,12
420535933,12,12
420536366,12,10
420536557,12,12
420535736,13,12
420536769,12,12
420535737,12,12
420536558,12,13
420535735,13,10
420534522,13,11
420535934,13,13
420534933,13,13
420535738,13,13
420534299,13,12
420535535,13,10
420535141,13,13
420534931,13,11
420533901,13,11
420535140,13,12
420534523,13,13
420534932,13,11
420533111,14,11
420534301,13,13
420534300,13,12
420534521,13,9
420533899,13,10
420534721,13,9
420533898,13,9
420534298,13,10
420533900,14,10
420533109,14,8
420533706,14,8
420533897,13,9
420533289,14,10
420533492,14,9
420532897,14,10
420532309,14,10
420533288,14,9
420533707,14,9
420533110,14,9
420532308,14,8
420532112,14,9
420532527,14,9
420531685,15,9
420530479,15,10
420533896,13,8
420533290,14,11
420532310,14,11
420532311,14,11
420531686,15,11
420531492,15,11
420530053,15,11
420531493,15,11
420531687,15,11
420530257,15,12
420530054,15,11
420531282,15,12
420529852,15,12
420529642,15,13
420529424,16,11
420527779,16,12
420528175,16,12
420559164,1,13
420558550,2,13
420558551,2,13
420558335,2,13
420556820,2,14
420557887,2,13
420557264,2,14
420557666,2,13
420557667,2,13
420556418,2,13
420556419,2,13
420555787,3,14
420556420,3,14
420555788,3,14
420554046,3,14
420560038,0,11
420560039,1,12
420560040,1,12
420559163,1,12
420559602,1,12
420559601,1,11
420559600,1,11
420559599,1,11
420558983,1,11
420558774,1,12
420558334,2,12
420558773,2,11
420558118,2,11
420558119,2,13
420557046,2,11
420557665,2,12
420557047,2,11
420559821,1,10
420559162,1,10
420554048,3,15
420554044,3,13
420553623,4,13
420554045,4,14
420554047,4,14
420553419,4,14
420553223,4,13
420551949,4,15
420553011,4,14
420553012,4,14
420552144,4,13
420552145,5,14
420551728,5,14
420551344,5,15
420551343,5,14
420550314,5,13
420550517,5,14
420549517,6,15
420556000,3,15
420556222,2,15
420556612,3,15
420556821,2,15
420557048,2,15
420557486,2,15
420557052,2,23
420556617,3,23
420556226,3,23
420556004,3,23
420555789,3,15
420555313,3,16
420554685,3,20
420553420,4,20
420554050,4,20
420553421,4,20
420555549,3,22
420554902,3,23
420554686,3,21
420553422,4,21
420554265,3,22
420554051,4,22
420553017,4,22
420553423,4,22
420553226,4,21
420553227,4,23
420552580,4,23
420552362,5,22
420551956,4,21
420551732,5,23
420551731,5,22
420551955,5,21
420551347,5,22
420550923,5,22
420550725,5,21
420551148,5,23
420553018,4,23
420556421,3,24
420555550,3,24
420554903,3,23
420555315,3,24
420555121,3,23
420554904,3,24
420554266,4,23
420554905,3,24
420554053,4,24
420554052,4,23
420553624,4,24
420553228,4,24
420552150,4,23
420552581,4,24
420553424,4,23
420552363,5,23
420550924,5,24
420554263,3,16
420553826,3,15
420554264,3,16
420553014,4,17
420553827,4,16
420553013,4,16
420553224,4,16
420553225,4,16
420552147,4,18
420551729,5,15
420553015,4,17
420552579,4,16
420551950,5,16
420551952,4,18
420552809,4,17
420552146,5,17
420551346,5,17
420551951,5,16
420551345,5,17
420551528,5,16
420551529,5,18
420551145,5,18
420550723,5,16
420550317,5,17
420550518,5,17
420550921,5,15
420549717,6,18
420550316,6,16
420550315,5,15
420549910,6,16
420549138,6,16
420549137,6,16
420549716,6,17
420551957,5,24
420551348,5,25
420550726,5,24
420552361,4,21
420552810,4,20
420551532,5,20
420552148,4,19
420551953,4,18
420549912,5,20
420552149,5,19
420551730,5,19
420551530,5,19
420551531,5,19
420551954,5,19
420551147,5,19
420551146,5,19
420550922,5,18
420550519,5,19
420550724,5,18
420549911,6,18
420550099,5,19
420549719,6,20
420550101,6,19
420549141,6,20
420550100,6,19
420548923,6,18
420549718,6,19
420548924,6,18
420549341,6,19
420548715,6,20
420548486,6,19
420548487,6,19
420548714,7,19
420548065,6,20
420548488,6,21
420548066,7,20
420550103,6,22
420550318,5,23
420550102,6,21
420549915,6,24
420549913,6,22
420549914,6,23
420549721,6,23
420549345,6,24
420549720,6,22
420549342,6,21
420549343,6,22
420548927,6,23
420549143,6,24
420548926,6,22
420549344,6,23
420548928,6,24
420547875,6,23
420549142,6,23
420548716,6,23
420548267,6,23
420548925,6,22
420548489,6,23
420546628,7,22
420548268,6,24
420548266,6,21
420548069,7,24
420548067,7,23
420547873,6,21
420548068,7,24
420547441,7,22
420547874,7,22
420547442,7,23
420549139,6,17
420549340,6,15
420548922,6,16
420549136,6,15
420548265,6,16
420549140,6,17
420548485,6,15
420548063,6,17
420548713,6,17
420548712,6,17
420547870,7,15
420547029,7,16
420547030,7,17
420547648,7,18
420545989,7,16
420546625,7,18
420545827,7,17
420545990,8,16
420544966,8,18
420545826,8,16
420544965,8,17
420544365,8,16
420544537,8,17
420544169,8,17
420548718,6,25
420548717,6,24
420547651,6,25
420547443,7,25
420545996,7,26
420547036,7,25
420546630,7,25
420546631,7,26
420546632,7,26
420546221,8,24
420545994,8,25
420545607,8,24
420544968,8,25
420545995,8,26
420546222,8,26
420545385,8,26
420545384,8,25
420544969,8,26
420543777,8,26
420544742,8,25
420543351,9,25
420544171,8,24
420543776,9,25
420543562,8,26
420548711,6,14
420548483,6,14
420548484,6,15
420548264,6,14
420548061,6,14
420547869,7,15
420548062,7,15
420548060,7,13
420547440,7,14
420547647,7,14
420546826,7,14
420546419,7,15
420547028,7,14
420546825,7,13
420545822,8,14
420546624,7,13
420546418,7,13
420546420,7,15
420545988,8,13
420545824,8,15
420545604,8,13
420545823,8,14
420545605,8,15
420544964,8,14
420543774,8,15
420545825,8,15
420544739,8,13
420544168,8,15
420543773,9,14
420544740,8,13
420544167,9,13
420543348,9,14
420543152,9,14
420542741,9,13
420548064,6,19
420547031,7,18
420547871,7,20
420547872,7,21
420547235,7,20
420547234,7,19
420547649,7,21
420547650,7,21
420547033,7,21
420547236,7,20
420546827,7,18
420546627,7,21
420546421,7,18
420545382,8,21
420547032,7,19
420545828,7,20
420545991,7,19
420545381,8,19
420546626,7,20
420545160,8,20
420545606,8,18
420546220,8,18
420544538,8,18
420544367,8,20
420543977,8,20
420545161,8,21
420544539,8,21
420543350,9,21
420546423,7,23
420546629,7,24
420547034,7,22
420547035,7,22
420546422,7,22
420545993,7,23
420546828,7,22
420545992,8,22
420545829,8,22
420545164,8,24
420545165,8,24
420545383,8,21
420545162,8,22
420544967,8,22
420545163,8,23
420544741,8,23
420544369,8,24
420543154,9,23
420542550,9,24
420544170,8,21
420543560,8,22
420542939,9,22
420544368,8,23
420542549,9,23
420542346,9,22
420542940,9,26
420543561,9,26
