stream,lat_index,lon_index
420558772,2,10
420557886,2,11
420553620,4,10
420553824,4,10
420553417,4,10
420552578,4,10
420551525,5,10
420551526,5,11
420550514,5,10
420550311,5,11
420550722,5,10
420550310,6,10
420549336,6,10
420549516,6,10
420549714,6,11
420548919,6,10
420549337,6,11
420548480,6,10
420548055,7,10
420547868,7,9
420547230,7,10
420547231,7,11
420547229,7,10
420547228,7,10
420546417,7,10
420556818,2,12
420556819,2,12
420556611,2,12
420555999,3,11
420556417,3,12
420555544,3,12
420554485,3,13
420555118,3,11
420554484,3,11
420554043,4,12
420554262,4,12
420553622,4,13
420553222,4,11
420553825,4,12
420553621,4,12
420552360,4,13
420553010,4,12
420553009,4,12
420553418,4,11
420554683,3,8
420554042,4,7
420553619,4,8
420554261,4,8
420552358,4,9
420552808,4,8
420551944,5,8
420551945,5,8
420551524,5,9
420551523,5,9
420550098,5,9
420551341,5,7
420551342,5,9
420550512,5,7
420550917,5,8
420551522,5,8
420551142,5,9
420549906,6,7
420549907,6,8
420549133,6,8
420550513,5,9
420550309,5,9
420549134,6,8
420549713,6,9
420548918,6,9
420549515,6,7
420548710,6,7
420545156,8,5
420545378,8,6
420544734,8,6
420543771,8,6
420553008,4,11
420552359,4,12
420551144,5,13
420551947,5,12
420551948,5,12
420549909,5,14
420551727,5,12
420551527,5,12
420551726,5,11
420551143,5,11
420550918,5,12
420550919,5,12
420550516,5,13
420550920,5,12
420550312,6,12
420549908,6,12
420550515,5,11
420550313,6,13
420549715,6,12
420549339,6,13
420549338,6,11
420548921,6,12
420549135,6,12
420548481,6,11
420548920,6,11
420551946,4,11
420547227,7,9
420548479,6,9
420547226,7,8
420546623,7,9
420547026,7,7
420546416,7,8
420546822,7,7
420546622,7,8
420546415,7,7
420546218,8,9
420545817,8,10
420545158,8,8
420545815,8,7
420545157,8,8
420545379,8,7
420545987,8,9
420545816,8,9
420544735,8,9
420548263,7,11
420548482,6,12
420548057,7,11
420548058,7,11
420548056,7,11
420548059,7,12
420547027,7,12
420546824,7,11
420547233,7,13
420547232,7,12
420545820,7,12
420546823,7,11
420545819,8,11
420546219,7,11
420545818,8,11
420544963,8,14
420545821,8,13
420545380,8,11
420544738,8,12
420544364,8,13
420543975,8,11
420544962,8,12
420544166,8,12
420543772,9,11
420543557,9,12
420542546,9,13
420542132,9,12
420541930,9,11
420544732,8,4
420545377,8,5
420544731,8,4
420544362,8,5
420543770,8,5
420544733,8,5
420543768,9,3
420544165,8,4
420544361,8,5
420543968,9,5
420543969,9,5
420543970,9,5
420542738,9,4
420543769,9,5
420542933,9,5
420543767,9,1
420543555,9,2
420543146,9,1
420543342,9,2
420543343,9,2
420541924,9,2
420541923,9,1
420541318,10,1
420542126,10,2
420541529,10,1
420541724,10,2
420541317,10,1
420541725,10,2
420540917,10,2
420540280,10,1
420540075,10,2
420545152,8,0
420544729,8,1
420543554,9,0
420544535,8,1
420542737,9,0
420543145,9,1
420542540,9,0
420541723,10,0
420545159,8,10
420544363,8,9
420544736,8,10
420544737,8,10
420544536,8,11
420543973,9,10
420543974,9,10
420541929,9,8
420543149,9,8
420543151,9,10
420542937,9,9
420543150,9,10
420542343,9,10
420542740,9,10
420542544,9,10
420542341,9,7
420542739,9,9
