stream,lat_index,lon_index
420555774,28,39
420552129,28,39
420555775,28,39
420556801,28,39
420553210,28,39
420554467,28,39
420552130,28,39
420556212,28,39
420557248,28,39
420553211,28,39
420551711,28,39
420553402,28,39
420557028,28,39
420557653,28,39
420554246,28,39
420551515,28,39
420554247,28,39
420553403,28,39
420554026,28,39
420552999,28,39
420553604,28,39
420557030,28,39
420558099,28,39
420558316,28,39
420558317,28,39
420558318,28,39
420558753,28,39
420558754,28,39
420558967,28,39
420559152,28,39
420559358,28,39
420559359,28,39
420559585,28,39
420559808,28,39
420559809,28,39
420560026,28,39
420560027,28,39
420560245,28,39
420560866,28,39
420561267,28,39
420561471,28,39
420554671,28,39
420561885,28,39
420562116,28,39
420561469,28,39
420561470,28,39
420560656,28,39
420560244,28,39
420560865,28,39
420559357,28,39
420558098,28,39
420558315,28,39
420558966,28,39
420558532,28,39
420558314,28,39
420557247,28,39
420557027,28,39
420556800,28,39
420556211,28,39
420556597,28,39
420556596,28,39
420556210,28,39
420555773,28,39
420555531,28,39
420555098,28,39
420555099,28,39
420554894,28,39
420554670,28,39
420553603,28,39
420554466,28,39
420554245,28,39
420554025,28,39
420553401,28,39
420553400,28,39
420551934,28,39
420552998,28,39
420552794,28,39
420552793,28,39
420551708,28,39
420554470,28,39
420554895,28,39
420554471,28,40
420555100,28,39
420554469,28,39
420553818,28,39
420554468,28,39
420553819,28,40
420552795,28,40
420552796,28,40
420552131,28,40
420551712,28,39
420551333,28,40
420550906,28,39
420550907,28,40
420551137,28,39
420550714,28,39
420549329,28,40
420549328,28,39
420550296,28,39
420548253,27,39
420548463,27,40
420547423,27,40
420547218,27,39
420551935,28,39
420551710,28,39
420551132,28,39
420551709,28,39
420549896,28,39
420551136,28,39
420550905,28,39
420551133,28,39
420551134,28,39
420551135,28,39
420550084,28,39
420549700,28,39
420549327,28,39
420549120,27,39
420548462,27,39
420548251,27,39
420547217,27,39
420547636,27,39
420549326,28,39
420549699,28,39
420549119,28,39
420548461,27,39
420548696,27,39
420547422,27,39
420547013,27,39
420548250,27,39
420547635,27,39
420546402,27,39
420546606,27,39
420544718,27,39
